bounding_box_size_X, bounding_box_size_Y, min_box_size_X, min_box_size_Y, contour_size_X, contour_size_Y, nut_type
210, 1669.0, 182.0, 1452.5, 134.5, 1057.0, 2
169, 1344.0, 144.0, 1121.0, 116.5, 910.0, 2
182, 1408.0, 156.0, 1209.5, 121.0, 929.0, 2
210, 1646.5, 182.0, 1449.0, 143.5, 1134.0, 2
210, 1650.0, 182.0, 1435.0, 151.0, 1191.0, 2
169, 1332.5, 151.40013628391898, 1099.0, 107.5, 848.0, 1
144, 1121.0, 121.0, 945.0, 102.5, 813.0, 1
156, 1230.0, 132.0, 1045.0, 107.5, 842.0, 1
156, 1230.0, 132.0, 1045.0, 108.0, 856.5, 1
182, 1446.5, 148.0540409928999, 1168.5, 115.5, 908.0, 1
100, 784.0, 78.23042398834787, 608.5, 57.0, 452.5, 0
90, 693.0, 72.0, 560.0, 55.0, 426.5, 0
110, 875.0, 94.02127396848937, 728.0, 59.0, 471.0, 0
90, 697.5, 72.0, 560.0, 60.5, 476.0, 0
100, 800.0, 81.0, 652.5, 65.0, 519.5, 0
81, 627.5, 64.0, 487.5, 47.5, 368.0, 0
81, 630.0, 64.0, 487.5, 50.0, 387.0, 0
80, 612.5, 63.0, 484.0, 51.0, 402.5, 0
81, 630.0, 64.0, 487.5, 52.0, 398.0, 0
90, 704.0, 72.0, 556.0, 64.0, 510.5, 0
120, 930.0, 99.0, 770.0, 83.0, 645.5, 1
121, 932.0, 100.0, 772.0, 82.5, 645.0, 1
144, 1140.0, 121.0, 949.0, 91.5, 719.0, 1
144, 1140.0, 121.0, 962.5, 99.5, 788.0, 1
169, 1344.0, 144.0, 1121.0, 114.0, 894.0, 1
182, 1446.5, 156.0, 1230.0, 109.0, 873.5, 2
169, 1349.0, 144.0, 1121.0, 118.0, 916.5, 2
210, 1621.5, 182.0, 1430.0, 146.0, 1140.5, 2
210, 1663.0, 182.0, 1430.0, 135.0, 1072.0, 2
270, 2115.0, 199.99999989778735, 1575.5, 148.5, 1160.5, 2
